location,month,Chloride,Phosphorus,Specific conductance,Sulfate,Total dissolved solids,pH
baton_rouge,2010-01-01,,,,,,7.95
baton_rouge,2010-02-01,,,,,,8.0
baton_rouge,2010-03-01,,,,,,8.0
baton_rouge,2010-04-01,,,,,,7.975
baton_rouge,2010-05-01,,,,,,7.95
baton_rouge,2010-06-01,,,,,,8.0
baton_rouge,2010-08-01,,,,,,8.149999999999999
baton_rouge,2010-10-01,,,,,,8.05
baton_rouge,2010-12-01,,,,,,8.05
baton_rouge,2011-01-01,,,,,,8.05
baton_rouge,2011-02-01,,,,,,8.2
baton_rouge,2011-03-01,,,,,,8.0
baton_rouge,2011-04-01,,,,,,7.95
baton_rouge,2011-05-01,,,,,,7.8
baton_rouge,2011-06-01,,,,,,7.925
baton_rouge,2011-08-01,,,,,,8.1
baton_rouge,2011-10-01,,,,,,8.149999999999999
baton_rouge,2011-12-01,,,,,,8.0
baton_rouge,2012-01-01,,,,,,8.0
baton_rouge,2012-02-01,,,,,,7.9
baton_rouge,2012-03-01,,,,,,7.975
baton_rouge,2012-04-01,,,,,,7.95
baton_rouge,2012-05-01,,,,,,7.966666666666666
baton_rouge,2012-06-01,4.126,,132.4,5.689,,7.8999999999999995
baton_rouge,2012-08-01,,,,,,7.975
baton_rouge,2012-10-01,5.75,0.315,,16.3,155.0,8.05
baton_rouge,2012-11-01,15.9,0.236,,19.2,178.0,
baton_rouge,2012-12-01,19.6,0.097,,15.8,60.0,8.149999999999999
baton_rouge,2013-01-01,10.1,0.102,,20.0,180.0,8.0
baton_rouge,2013-02-01,10.5,0.176,,35.1,172.0,8.05
baton_rouge,2013-03-01,8.65,0.131,,26.5,122.0,7.975
baton_rouge,2013-04-01,15.4,0.0742,,22.6,142.0,7.925
baton_rouge,2013-05-01,8.9,0.234,,17.4,128.0,7.7
baton_rouge,2013-06-01,9.37,0.305,,13.6,122.0,7.675000000000001
baton_rouge,2013-07-01,18.6,0.209,,13.4,148.0,7.85
