location,month,characteristic,monthly_mean,monthly_median,n_samples
baton_rouge,2010-01-01,pH,7.95,7.95,2
baton_rouge,2010-02-01,pH,8.0,8.0,2
baton_rouge,2010-03-01,pH,8.0,8.0,4
baton_rouge,2010-04-01,pH,7.975,7.95,4
baton_rouge,2010-05-01,pH,7.95,7.95,4
baton_rouge,2010-06-01,pH,8.0,8.0,2
baton_rouge,2010-08-01,pH,8.149999999999999,8.149999999999999,2
baton_rouge,2010-10-01,pH,8.05,8.05,2
baton_rouge,2010-12-01,pH,8.05,8.05,2
baton_rouge,2011-01-01,pH,8.05,8.05,2
baton_rouge,2011-02-01,pH,8.2,8.2,2
baton_rouge,2011-03-01,pH,8.0,8.0,4
baton_rouge,2011-04-01,pH,7.95,7.95,4
baton_rouge,2011-05-01,pH,7.8,7.85,4
baton_rouge,2011-06-01,pH,7.925,7.9,4
baton_rouge,2011-08-01,pH,8.1,8.1,2
baton_rouge,2011-10-01,pH,8.149999999999999,8.149999999999999,2
baton_rouge,2011-12-01,pH,8.0,8.0,2
baton_rouge,2012-01-01,pH,8.0,8.0,2
baton_rouge,2012-02-01,pH,7.9,7.9,2
baton_rouge,2012-03-01,pH,7.975,7.95,4
baton_rouge,2012-04-01,pH,7.95,7.9,6
baton_rouge,2012-05-01,pH,7.966666666666666,7.9,3
baton_rouge,2012-06-01,Chloride,4.126,4.126,1
baton_rouge,2012-06-01,Specific conductance,132.4,132.4,1
baton_rouge,2012-06-01,Sulfate,5.689,5.689,1
baton_rouge,2012-06-01,pH,7.8999999999999995,7.8,3
baton_rouge,2012-08-01,pH,7.975,7.9,4
baton_rouge,2012-10-01,Chloride,5.75,5.75,1
baton_rouge,2012-10-01,Phosphorus,0.315,0.315,1
baton_rouge,2012-10-01,Sulfate,16.3,16.3,1
baton_rouge,2012-10-01,Total dissolved solids,155.0,155.0,1
baton_rouge,2012-10-01,pH,8.05,8.05,2
baton_rouge,2012-11-01,Chloride,15.9,15.9,1
baton_rouge,2012-11-01,Phosphorus,0.236,0.236,1
baton_rouge,2012-11-01,Sulfate,19.2,19.2,1
baton_rouge,2012-11-01,Total dissolved solids,178.0,178.0,1
baton_rouge,2012-12-01,Chloride,19.6,19.6,1
baton_rouge,2012-12-01,Phosphorus,0.097,0.097,1
baton_rouge,2012-12-01,Sulfate,15.8,15.8,1
baton_rouge,2012-12-01,Total dissolved solids,60.0,60.0,1
baton_rouge,2012-12-01,pH,8.149999999999999,8.149999999999999,2
baton_rouge,2013-01-01,Chloride,10.1,10.1,1
baton_rouge,2013-01-01,Phosphorus,0.102,0.102,1
baton_rouge,2013-01-01,Sulfate,20.0,20.0,1
baton_rouge,2013-01-01,Total dissolved solids,180.0,180.0,1
baton_rouge,2013-01-01,pH,8.0,8.0,2
baton_rouge,2013-02-01,Chloride,10.5,10.5,1
baton_rouge,2013-02-01,Phosphorus,0.176,0.176,1
baton_rouge,2013-02-01,Sulfate,35.1,35.1,1
baton_rouge,2013-02-01,Total dissolved solids,172.0,172.0,1
baton_rouge,2013-02-01,pH,8.05,8.05,2
baton_rouge,2013-03-01,Chloride,8.65,8.65,1
baton_rouge,2013-03-01,Phosphorus,0.131,0.131,1
baton_rouge,2013-03-01,Sulfate,26.5,26.5,1
baton_rouge,2013-03-01,Total dissolved solids,122.0,122.0,1
baton_rouge,2013-03-01,pH,7.975,8.0,4
baton_rouge,2013-04-01,Chloride,15.4,15.4,1
baton_rouge,2013-04-01,Phosphorus,0.0742,0.0742,1
baton_rouge,2013-04-01,Sulfate,22.6,22.6,1
baton_rouge,2013-04-01,Total dissolved solids,142.0,142.0,1
baton_rouge,2013-04-01,pH,7.925,7.95,4
baton_rouge,2013-05-01,Chloride,8.9,8.9,1
baton_rouge,2013-05-01,Phosphorus,0.234,0.234,1
baton_rouge,2013-05-01,Sulfate,17.4,17.4,1
baton_rouge,2013-05-01,Total dissolved solids,128.0,128.0,1
baton_rouge,2013-05-01,pH,7.7,7.7,4
baton_rouge,2013-06-01,Chloride,9.37,9.37,1
baton_rouge,2013-06-01,Phosphorus,0.305,0.305,1
baton_rouge,2013-06-01,Sulfate,13.6,13.6,1
baton_rouge,2013-06-01,Total dissolved solids,122.0,122.0,1
baton_rouge,2013-06-01,pH,7.675000000000001,7.7,4
baton_rouge,2013-07-01,Chloride,18.6,18.6,1
baton_rouge,2013-07-01,Phosphorus,0.209,0.209,1
baton_rouge,2013-07-01,Sulfate,13.4,13.4,1
baton_rouge,2013-07-01,Total dissolved solids,148.0,148.0,1
baton_rouge,2013-07-01,pH,7.85,7.85,2
baton_rouge,2013-08-01,Chloride,19.9,19.9,1
baton_rouge,2013-08-01,Phosphorus,0.262,0.262,1
baton_rouge,2013-08-01,Sulfate,15.0,15.0,1
baton_rouge,2013-08-01,Total dissolved solids,172.0,172.0,1
baton_rouge,2013-08-01,pH,8.0,8.0,2
baton_rouge,2013-09-01,Chloride,23.4,23.4,1
baton_rouge,2013-09-01,Phosphorus,0.0853,0.0853,1
baton_rouge,2013-09-01,Sulfate,15.9,15.9,1
baton_rouge,2013-09-01,Total dissolved solids,205.0,205.0,1
baton_rouge,2013-11-01,pH,8.1,8.1,2
baton_rouge,2013-12-01,pH,8.2,8.0,4
baton_rouge,2014-01-01,pH,7.85,7.85,2
baton_rouge,2014-02-01,pH,7.95,7.95,2
baton_rouge,2014-03-01,pH,7.825,7.85,4
baton_rouge,2014-04-01,pH,7.8,7.800000000000001,4
baton_rouge,2014-05-01,pH,7.725,7.7,4
baton_rouge,2014-06-01,pH,7.825,7.85,4
baton_rouge,2014-07-01,pH,8.0,8.0,2
baton_rouge,2014-08-01,pH,8.05,8.05,2
baton_rouge,2014-10-01,pH,7.9,7.9,2
baton_rouge,2014-11-01,pH,8.7,8.7,1
baton_rouge,2014-12-01,pH,8.0,8.0,2
baton_rouge,2015-01-01,pH,8.0,8.0,2
baton_rouge,2015-02-01,pH,8.05,8.05,2
baton_rouge,2015-03-01,pH,7.85,7.9,4
baton_rouge,2015-04-01,pH,7.775,7.800000000000001,4
baton_rouge,2015-05-01,pH,7.8,7.800000000000001,4
baton_rouge,2015-06-01,pH,7.85,7.85,4
baton_rouge,2015-07-01,pH,7.8,7.8,2
baton_rouge,2015-08-01,pH,7.8,7.8,2
baton_rouge,2015-10-01,pH,8.100000000000001,8.100000000000001,2
baton_rouge,2015-12-01,pH,8.25,8.149999999999999,4
baton_rouge,2016-01-01,pH,7.800000000000001,7.800000000000001,2
baton_rouge,2016-02-01,pH,8.1,8.1,2
baton_rouge,2016-03-01,pH,8.05,8.05,4
baton_rouge,2016-04-01,pH,7.85,7.85,4
baton_rouge,2016-05-01,pH,7.95,7.949999999999999,4
baton_rouge,2016-06-01,pH,7.975,7.949999999999999,4
baton_rouge,2016-07-01,pH,8.25,8.25,2
baton_rouge,2016-08-01,pH,8.1,8.1,2
baton_rouge,2016-10-01,Chloride,17.6,17.6,1
baton_rouge,2016-10-01,Phosphorus,0.3,0.3,1
baton_rouge,2016-10-01,Sulfate,22.2,22.2,1
baton_rouge,2016-10-01,Total dissolved solids,170.0,170.0,1
baton_rouge,2016-10-01,pH,8.25,8.25,2
baton_rouge,2016-11-01,Chloride,25.7,25.7,1
baton_rouge,2016-11-01,Phosphorus,0.23,0.23,1
baton_rouge,2016-11-01,Sulfate,22.4,22.4,1
baton_rouge,2016-11-01,Total dissolved solids,215.0,215.0,1
baton_rouge,2016-12-01,Chloride,7.2,7.2,1
baton_rouge,2016-12-01,Phosphorus,0.42,0.42,1
baton_rouge,2016-12-01,Sulfate,11.5,11.5,1
baton_rouge,2016-12-01,Total dissolved solids,90.0,90.0,1
baton_rouge,2016-12-01,pH,8.3,8.3,2
baton_rouge,2017-01-01,Chloride,12.3,12.3,1
baton_rouge,2017-01-01,Phosphorus,0.25,0.25,1
baton_rouge,2017-01-01,Sulfate,21.5,21.5,1
baton_rouge,2017-01-01,Total dissolved solids,190.0,190.0,1
baton_rouge,2017-01-01,pH,7.75,7.75,2
baton_rouge,2017-02-01,Chloride,13.9,13.9,1
baton_rouge,2017-02-01,Phosphorus,0.11,0.11,1
baton_rouge,2017-02-01,Sulfate,26.8,26.8,1
baton_rouge,2017-02-01,Total dissolved solids,225.0,225.0,1
baton_rouge,2017-02-01,pH,8.0,8.0,2
baton_rouge,2017-03-01,Chloride,13.2,13.2,1
baton_rouge,2017-03-01,Phosphorus,0.61,0.61,1
baton_rouge,2017-03-01,Sulfate,21.7,21.7,1
baton_rouge,2017-03-01,Total dissolved solids,115.0,115.0,1
baton_rouge,2017-03-01,pH,7.9,7.9,1
baton_rouge,2017-04-01,Chloride,8.5,8.5,1
baton_rouge,2017-04-01,Phosphorus,0.3,0.3,1
baton_rouge,2017-04-01,Sulfate,14.0,14.0,1
baton_rouge,2017-04-01,Total dissolved solids,105.0,105.0,1
baton_rouge,2017-05-01,Chloride,7.1,7.1,1
baton_rouge,2017-05-01,Phosphorus,0.23,0.23,1
baton_rouge,2017-05-01,Sulfate,13.3,13.3,1
baton_rouge,2017-05-01,Total dissolved solids,70.0,70.0,1
baton_rouge,2017-06-01,Chloride,5.696666666666666,4.745,3
baton_rouge,2017-06-01,Phosphorus,0.3,0.3,1
baton_rouge,2017-06-01,Sulfate,7.826,3.889,3
baton_rouge,2017-06-01,Total dissolved solids,100.0,100.0,1
baton_rouge,2017-07-01,Chloride,9.3,9.3,1
baton_rouge,2017-07-01,Phosphorus,0.32,0.32,1
baton_rouge,2017-07-01,Sulfate,13.7,13.7,1
baton_rouge,2017-07-01,Total dissolved solids,135.0,135.0,1
baton_rouge,2017-07-01,pH,7.4,7.4,1
baton_rouge,2017-08-01,Chloride,13.5,13.5,1
baton_rouge,2017-08-01,Phosphorus,0.28,0.28,1
baton_rouge,2017-08-01,Sulfate,28.8,28.8,1
baton_rouge,2017-08-01,Total dissolved solids,190.0,190.0,1
baton_rouge,2017-08-01,pH,7.5,7.5,1
baton_rouge,2017-09-01,Chloride,8.5,8.5,1
baton_rouge,2017-09-01,Sulfate,17.8,17.8,1
baton_rouge,2017-09-01,Total dissolved solids,145.0,145.0,1
baton_rouge,2017-09-01,pH,7.7,7.7,1
baton_rouge,2017-10-01,Chloride,39.3,39.3,1
baton_rouge,2017-10-01,Phosphorus,0.24,0.24,1
baton_rouge,2017-10-01,Sulfate,16.0,16.0,1
baton_rouge,2017-10-01,Total dissolved solids,110.0,110.0,1
baton_rouge,2017-10-01,pH,8.0,8.0,1
baton_rouge,2017-11-01,Chloride,8.9,8.9,1
baton_rouge,2017-11-01,Phosphorus,0.088,0.088,1
baton_rouge,2017-11-01,Sulfate,3.8,3.8,1
baton_rouge,2017-11-01,Total dissolved solids,60.0,60.0,1
baton_rouge,2017-12-01,Chloride,17.4,17.4,1
baton_rouge,2017-12-01,Sulfate,11.3,11.3,1
baton_rouge,2017-12-01,Total dissolved solids,85.0,85.0,1
baton_rouge,2017-12-01,pH,8.1,8.1,1
baton_rouge,2018-01-01,Chloride,10.0,10.0,1
baton_rouge,2018-01-01,Phosphorus,0.39,0.39,1
baton_rouge,2018-01-01,Sulfate,10.0,10.0,1
baton_rouge,2018-01-01,Total dissolved solids,145.0,145.0,1
baton_rouge,2018-02-01,Chloride,26.4,26.4,1
baton_rouge,2018-02-01,Phosphorus,0.086,0.086,1
baton_rouge,2018-02-01,Sulfate,18.0,18.0,1
baton_rouge,2018-02-01,Total dissolved solids,240.0,240.0,1
baton_rouge,2018-03-01,Chloride,4.4,4.4,1
baton_rouge,2018-03-01,Phosphorus,0.3,0.3,1
baton_rouge,2018-03-01,Sulfate,1.0,1.0,1
baton_rouge,2018-03-01,Total dissolved solids,35.0,35.0,1
baton_rouge,2018-04-01,Chloride,47.9,47.9,1
baton_rouge,2018-04-01,Phosphorus,0.23,0.23,1
baton_rouge,2018-04-01,Sulfate,24.3,24.3,1
baton_rouge,2018-04-01,Total dissolved solids,250.0,250.0,1
baton_rouge,2018-05-01,Chloride,25.4,25.4,1
baton_rouge,2018-05-01,Phosphorus,0.17,0.17,1
baton_rouge,2018-05-01,Sulfate,13.0,13.0,1
baton_rouge,2018-05-01,Total dissolved solids,195.0,195.0,1
baton_rouge,2018-05-01,pH,7.5,7.5,1
baton_rouge,2018-06-01,Chloride,7.2,7.2,1
baton_rouge,2018-06-01,Phosphorus,0.42,0.42,1
baton_rouge,2018-06-01,Sulfate,9.4,9.4,1
baton_rouge,2018-06-01,Total dissolved solids,110.0,110.0,1
baton_rouge,2018-07-01,Chloride,8.3,8.3,1
