ActivityStartDate,ActivityStartTime/Time,ActivityEndDate,ActivityEndTime/Time,MonitoringLocationIdentifier,ActivityDepthHeightMeasure/MeasureValue,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,MeasureQualifierCode,DetectionQuantitationLimitMeasure/MeasureValue,ResultDetectionConditionText,ProjectIdentifier,ResultAnalyticalMethod/MethodName,ProviderName,ActivityDepthHeightMeasure/MeasureUnitCode
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Sodium,43.2,mg/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Trichloroethylene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Total dissolved solids,694.0,mg/L,Final,,,,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Hexachlorobutadiene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Kjeldahl nitrogen,4.22,mg/L,Final,,,,1137,USEPA 351.2,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Nickel,3.7,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Trihalomethanes,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Potassium,2.7,mg/L,Final,,,,41,USEPA 200.7,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Nickel,3.8,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Copper,80.4,ug/L,Final,,,,41,SM 3113B,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Kjeldahl nitrogen,,,Final,,0.2,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Carbon,,,Final,,2.0,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Barium,49.0,ug/L,Final,,,,1137,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Xylene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Magnesium,33.1,mg/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Magnesium,31.5,mg/L,Final,,,,41,USEPA 200.7,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Nickel,4.1,ug/L,Final,,,,1137,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Benzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Chromium,,,Final,,2.0,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Aluminum,,,Final,,200.0,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,pH,6.55,,Final,,,,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Zinc,75.0,ug/L,Final,,,,1137,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Arsenic,2.3,ug/L,Final,,,,41,SM 3113B,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Methyl bromide,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Carbon tetrachloride,,,Final,J;U,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,o-Chlorotoluene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Ethylbenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Styrene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,m-Dichlorobenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,2,3-Trichloropropane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,1,1-Trichloroethane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Arsenic,2.4,ug/L,Final,,,,41,SM 3113B,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Specific conductance,1090.0,umho/cm,Final,,,,1137,SM 2510B,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Magnesium,23.1,mg/L,Final,,,,1137,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Halon 1011,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Total dissolved solids,636.0,mg/L,Final,,,,1137,SM 2540C,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"trans-1,2-Dichloroethylene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Chloride,77.4,mg/L,Final,,,,41,USEPA 325.1,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Ammonia,2.64,mg/L,Final,,,,1137,SM 4500-NH3BE,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Aluminum,,,Final,,200.0,Present Below Quantification Limit,41,,STORET,
2014-05-06,09:00:00,,,21OHIO_WQX-V07W06,,Water,Specific conductance,1092.0,umho/cm,Final,,,,1137,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Strontium,4720.0,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Chlorobenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Sulfate,63.2,mg/L,Final,,,,41,USEPA 375.2,STORET,
