ActivityStartDate,ActivityStartTime/Time,ActivityEndDate,ActivityEndTime/Time,MonitoringLocationIdentifier,ActivityDepthHeightMeasure/MeasureValue,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,MeasureQualifierCode,DetectionQuantitationLimitMeasure/MeasureValue,ResultDetectionConditionText,ProjectIdentifier,ResultAnalyticalMethod/MethodName,ProviderName,ActivityDepthHeightMeasure/MeasureUnitCode
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Potassium,9.0,mg/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-18,10:15:00,,,21OHIO_WQX-P11K28,,Water,Dissolved oxygen (DO),13.85,mg/L,Final,,,,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,"Chlorophyll a, corrected for pheophytin",214.0,ug/L,Final,,,,1678,USEPA 445,STORET,
2013-07-29,10:58:00,,,21OHIO_WQX-P11S39,,Water,"Temperature, water",21.6,deg C,Final,,,,1678,,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Ammonia,2.05,mg/L,Final,,,,1708,SM 4500-NH3BE,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Sodium,68.0,mg/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Cadmium,,,Final,,0.2,Present Below Quantification Limit,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Aluminum,890.0,ug/L,Final,,,,1678,USEPA 200.7,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Nitrite,0.02,mg/L,Final,,,,1678,USEPA 353.2,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,"Hardness, Ca, Mg",240.0,mg/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Sulfate,64.3,mg/L,Final,,,,1678,USEPA 375.2,STORET,
2013-11-18,,,,21OHIO_WQX-P11E01,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,12.7,mg/L,Final,,,,1708,USEPA 350.1,STORET,
2013-11-18,,,,21OHIO_WQX-P11K28,,Water,"Hardness, Ca, Mg",280.0,mg/L,Final,,,,1708,USEPA 200.7,STORET,
2013-11-19,10:34:00,,,21OHIO_WQX-P11E01,,Water,"Temperature, water",15.9,deg C,Final,,,,1708,,STORET,
2013-07-29,,,,21OHIO_WQX-P11S39,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,1.39,mg/L,Final,,,,1678,USEPA 350.1,STORET,
